O/N,Money Market,USD,0.014375,None,act/365,2018/01/18,2018/01/19,0.999960617989
1.0W,Money Market,USD,0.0146533,None,act/365,2018/01/20,2018/01/25,0.999720563484
1.0M,Money Market,USD,0.0156118,None,act/365,2018/01/20,2018/02/17,0.998725146782
2.0M,Money Market,USD,0.0163482,None,act/365,2018/01/20,2018/03/19,0.997330376503
3.0M,Money Market,USD,0.017447,None,act/365,2018/01/20,2018/04/18,0.995732787134
6.0M,Money Market,USD,0.019255,None,act/365,2018/01/20,2018/07/17,0.990619214544
12.0M,Swap,USD,0.02045,6.0,365,2018/01/20,2019/01/15,0.979990249533
18.0M,Swap,USD,0.02151,6.0,365,2018/01/20,2019/07/14,0.969162357385
24.0M,Swap,USD,0.02257,6.0,365,2018/01/20,2020/01/10,0.957108057429
30.0M,Swap,USD,0.023115,6.0,365,2018/01/20,2020/07/08,0.945415130013
36.0M,Swap,USD,0.02366,6.0,365,2018/01/20,2021/01/04,0.933358766136
42.0M,Swap,USD,0.023965,6.0,365,2018/01/20,2021/07/03,0.921727430615
48.0M,Swap,USD,0.02427,6.0,365,2018/01/20,2021/12/30,0.909961163086
54.0M,Swap,USD,0.024475,6.0,365,2018/01/20,2022/06/28,0.898476641618
60.0M,Swap,USD,0.02468,6.0,365,2018/01/20,2022/12/25,0.886951191216
66.0M,Swap,USD,0.02486,6.0,365,2018/01/20,2023/06/23,0.875512405483
72.0M,Swap,USD,0.02504,6.0,365,2018/01/20,2023/12/20,0.864059764842
78.0M,Swap,USD,0.0252,6.0,365,2018/01/20,2024/06/17,0.852711892038
84.0M,Swap,USD,0.02536,6.0,365,2018/01/20,2024/12/14,0.841371203631
90.0M,Swap,USD,0.025505,6.0,365,2018/01/20,2025/06/12,0.830138904041
96.0M,Swap,USD,0.02565,6.0,365,2018/01/20,2025/12/09,0.818929419176
102.0M,Swap,USD,0.025779999999999997,6.0,365,2018/01/20,2026/06/07,0.807855223857
108.0M,Swap,USD,0.02591,6.0,365,2018/01/20,2026/12/04,0.796818057714
114.0M,Swap,USD,0.026029999999999998,6.0,365,2018/01/20,2027/06/02,0.785900748826
120.0M,Swap,USD,0.02615,6.0,365,2018/01/20,2027/11/29,0.775030086491
126.0M,Swap,USD,0.026225,6.0,365,2018/01/20,2028/05/27,0.764606172787
132.0M,Swap,USD,0.0263,6.0,365,2018/01/20,2028/11/23,0.754259037424
138.0M,Swap,USD,0.026375,6.0,365,2018/01/20,2029/05/22,0.743988826329
144.0M,Swap,USD,0.02645,6.0,365,2018/01/20,2029/11/18,0.733795672455
150.0M,Swap,USD,0.026525,6.0,365,2018/01/20,2030/05/17,0.723679695931
156.0M,Swap,USD,0.0266,6.0,365,2018/01/20,2030/11/13,0.713641004202
162.0M,Swap,USD,0.026675,6.0,365,2018/01/20,2031/05/12,0.703679692168
168.0M,Swap,USD,0.02675,6.0,365,2018/01/20,2031/11/08,0.693795842334
174.0M,Swap,USD,0.026825,6.0,365,2018/01/20,2032/05/06,0.683989524954
180.0M,Swap,USD,0.0269,6.0,365,2018/01/20,2032/11/02,0.674260798175
186.0M,Swap,USD,0.026932,6.0,365,2018/01/20,2033/05/01,0.665137412464
192.0M,Swap,USD,0.026964000000000002,6.0,365,2018/01/20,2033/10/28,0.656111948125
198.0M,Swap,USD,0.026996,6.0,365,2018/01/20,2034/04/26,0.647183549808
204.0M,Swap,USD,0.027028,6.0,365,2018/01/20,2034/10/23,0.63835136731
210.0M,Swap,USD,0.02706,6.0,365,2018/01/20,2035/04/21,0.629614555572
216.0M,Swap,USD,0.027092,6.0,365,2018/01/20,2035/10/18,0.62097227468
222.0M,Swap,USD,0.027124000000000002,6.0,365,2018/01/20,2036/04/15,0.612423689862
228.0M,Swap,USD,0.027156,6.0,365,2018/01/20,2036/10/12,0.603967971483
234.0M,Swap,USD,0.027188,6.0,365,2018/01/20,2037/04/10,0.595604295043
240.0M,Swap,USD,0.02722,6.0,365,2018/01/20,2037/10/07,0.587331841175
246.0M,Swap,USD,0.0272165,6.0,365,2018/01/20,2038/04/05,0.579690837875
252.0M,Swap,USD,0.027213,6.0,365,2018/01/20,2038/10/02,0.572151863177
258.0M,Swap,USD,0.0272095,6.0,365,2018/01/20,2039/03/31,0.564713542866
264.0M,Swap,USD,0.027206,6.0,365,2018/01/20,2039/09/27,0.557374521397
270.0M,Swap,USD,0.0272025,6.0,365,2018/01/20,2040/03/25,0.550133461643
276.0M,Swap,USD,0.027199,6.0,365,2018/01/20,2040/09/21,0.54298904464
282.0M,Swap,USD,0.0271955,6.0,365,2018/01/20,2041/03/20,0.535939969338
288.0M,Swap,USD,0.027192,6.0,365,2018/01/20,2041/09/16,0.528984952358
294.0M,Swap,USD,0.0271885,6.0,365,2018/01/20,2042/03/15,0.522122727747
300.0M,Swap,USD,0.027185,6.0,365,2018/01/20,2042/09/11,0.515352046743
306.0M,Swap,USD,0.0271815,6.0,365,2018/01/20,2043/03/10,0.508671677536
312.0M,Swap,USD,0.027178,6.0,365,2018/01/20,2043/09/06,0.502080405036
318.0M,Swap,USD,0.0271745,6.0,365,2018/01/20,2044/03/04,0.495577030648
324.0M,Swap,USD,0.027171,6.0,365,2018/01/20,2044/08/31,0.489160372043
330.0M,Swap,USD,0.0271675,6.0,365,2018/01/20,2045/02/27,0.482829262934
336.0M,Swap,USD,0.027164,6.0,365,2018/01/20,2045/08/26,0.47658255286
342.0M,Swap,USD,0.0271605,6.0,365,2018/01/20,2046/02/22,0.470419106968
348.0M,Swap,USD,0.027157,6.0,365,2018/01/20,2046/08/21,0.464337805798
354.0M,Swap,USD,0.0271535,6.0,365,2018/01/20,2047/02/17,0.458337545075
360.0M,Swap,USD,0.02715,6.0,365,2018/01/20,2047/08/16,0.452417235499
