,fixing_date,start_date,end_date
0,2018/08/08,2018/08/10,2019/02/10
1,2019/02/08,2019/02/10,2019/08/10
2,2019/08/08,2019/08/10,2020/02/10
3,2020/02/08,2020/02/10,2020/08/10
4,2020/08/08,2020/08/10,2021/02/10
5,2021/02/08,2021/02/10,2021/08/10
6,2021/08/08,2021/08/10,2022/02/10
7,2022/02/08,2022/02/10,2022/08/10
8,2022/08/08,2022/08/10,2023/02/10
9,2023/02/08,2023/02/10,2023/08/10
10,2023/08/08,2023/08/10,2024/02/10
11,2024/02/08,2024/02/10,2024/08/10
12,2024/08/08,2024/08/10,2025/02/10
13,2025/02/08,2025/02/10,2025/08/10
14,2025/08/08,2025/08/10,2026/02/10
15,2026/02/08,2026/02/10,2026/08/10
16,2026/08/08,2026/08/10,2027/02/10
17,2027/02/08,2027/02/10,2027/08/10
18,2027/08/08,2027/08/10,2028/02/10
19,2028/02/08,2028/02/10,2028/08/10
